Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Erythromycin Ethylsuccinate 200 mg/5 ml Suspension,Erythrocin,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01FA01-238-F21-01-XXX,Yes,APPL,B,Treatment of susceptible bacterial infections,None,"Child: 30-50 mg/kg daily, increased to twice the usual dose in severe cases. 2-8 yr: 1 g daily in divided doses; <2 yr: 500 mg daily in divided doses.","Rash, urticaria; nausea, vomiting, GI discomfort; ototoxicity; central neurotoxicity; agranulocytosis; arrhythmias; pancreatitis. Potentially Fatal: Hepatotoxicity, cholestatic jaundice; raised serum transaminases; eosinophilia.",Hypersensitivity; porphyria; hepatic impairment; pregnancy.,"May antagonise therapeutic effects lincomycin and clindamycin. Concurrent usage may lead to increased absorption of alcohol. Potentially Fatal: May potentiate actions of neuromuscular blockers, oral anticoagulants, ciclosporin, theophylline. Terfenadine, astemizole, cisapride toxicity increased.","Hepatic& renal impairment, myasthenia gravis",False
Ethambutol HCl 200 mg Tablet,,Antiinfectives for Systemic Use > Antimycobacterials,J04AK02-110-T10-01-XXX,Yes,LP,B,Tuberculosis,None,Adult: 15-25mg/kg daily (max 1200mg) or 50mg/kg biweekly (max2000mg). Children: 15-25mg/kg daily or 50 mg/kg twice weekly.,"Generally well tolerated but may provoke reversible retrobulbar neuritis with a reduction of visual acuity, central scotoma& green-red colour blindness, allergic rashes, GI disturbances, jaundice, peripheral neuritis, confusion, hallucinations, joint pain, fever, malaise, headache, dizziness, anorexia& abdominal pain NPRA Safety Alert 1. 9 Jan 2025 Risk of Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)",Optic neuritis; history of previous adverse effects with ethambutol. Lactation.,"Aluminium hydroxide, ethionamide",Reduced visual acuity. Reduced dosage in impaired renal function. May precipitate attack of gout. Ocular examination is recommended,False
Ethyl Chloride 100ml Spray,-,Nervous System > Anesthetics,N01BX01000A4001XX,Yes,APPL,C,"For minor surgical procedures including lancing boils, incision and drainage of small abscesses, pain due to athletic injuries and pain due to injection administration",None,Spray to affected area at a distance of about 30cm until a fine white film is produced,"Transient hypertension, narcosis, vomiting and coma. Thawing of frozen tissue after surgery may be painful. Chemical frostbite may occur following prolonged spraying onto the skin. Nephrotoxicity or hepatotoxicity (long-term exposure)",Hypersensitivity to ethyl chloride products and vascular impairment of the extremities. Porphyria. Application on broken skin or mucous membranes,"Cisatracurium, St John's Wort","Ethyl chloride is highly flammable and mixtures of the gas with 5% to 15% of air are explosive; never use it in the presence of an open flame or near electric cautery equipment. Caution should be taken to avoid frostbite; when used for cryotherapy, protect adjacent skin with petrolatum. Inhalation of ETHYL CHLORIDE can produce narcosis or even fatal coma with respiratory or cardiac arrest. Cover eyes, nose and mouth if spraying near the face.To protect against tissue sloughing, cover the skin adjacent to the area being treated with petrolatum. Avoid spilling the liqd on the skin. Freezing may also distort the histological structure of biopsy specimens. Highly flammable. Avoid inhalation when used as local anaesthesia",False
Pizotifen 0.5 mg Tablet,Sandomigran,Nervous System > Analgesics,N02CX01253T1001XX,No,LP,B,Prophylactic treatment of vascular headache,None,"Starting with 0.5mg daily, the dosage should be progressively increased. The average maintenance dosage is 1.5mg daily in divided doses or as a single dose at night. Max dose: 4.5 mg/day and 3 mg/dose. Child: >2 yr: Up to 1.5 mg daily in divided doses. Max dose: 1 mg/dose.","Sedation, dizziness, dry mouth and constipation. Increased appetite, sedation, nausea, fatigue. Rarely, hypersensitivity reactions, face oedema, rash, central nervous system stimulation, hallucinations, seizures, depression, drowsiness, headache, palpitation, arrhythmias, gastrointestinal disturbance, palpitations, blood disorders, convulsions, sweating, myalgia, paraesthesias, extrapyramidal effects, sleep disturbances, confusion, tinnitus, tremor, hypotension, hair loss",Hypersensitivity to the drug. Children less than 2 years. Postural giddiness,"Central effects of sedatives, hypnotics, antihistamines, including certain common cold preparations and alcohol may be enhanced. Antagonised hypotensive effect of adrenergic neuron blockers. May mask warning signs of damage caused by ototoxic drugs eg. aminoglycosides","Narrow-angle glaucoma, obesity, urinary retention. May affect ability to drive and operate machinery. Pregnancy, breast feeding. Dosage reduction may be necessary in renal impairment, prostatic hyperplasia, pyloroduodenal obstruction, epilepsy, hepatic impairment, elderly, young children. Pregnancy, lactation",False
Betamethasone 17-Valerate 0.01-0.05% Ointment,Betnovate,"Dermatologicals > Corticosteroids, Dermatological Preparations",D07AC01-256-G50-01-XXX,Yes,LP,B,"Eczema, prurigo nodularis, limited psoriasis in appropriate in sites",None,Apply sparingly to affected area 2 - 3 times daily then reduced to once daily when improvement occurs,"Local skin atrophy, striae, systemic hypercorticism, folliculitis, hypertrichosis, acneiform eruptions, hypopigmentation, prioral and allergic contact dermatitis","Viral diseases, bacteria and fungal infection, acne, rosacea and perioral dermatitis. Hypersensitivity to betamethasone products",Not known,"Extensive or prolonged use, pregnancy, infant and children less than 4 year. Avoid contact with eyes. Use in patients 12 years of age younger",False
Simvastatin 10 mg Tablet,"Zocor, Simvor",Cardiovascular System > Lipid Modifying Agents,C10AA01000T1001XX,Yes,Government Contract,B,i) Hypercholesterolaemia ii) Prevention of cardiovascular disease,None,i) & ii) 10 - 40 mg once daily. Maximum: 80 mg daily,"Abdominal pain, flatulence, constipation, asthenia and headache, rarely hepatitis, hypersensitivity syndrome, upper respiratory infection. Cognitive impairment (e.g. memory loss, forgetfulness, amnesia, memory impairment, confusion), increase in HbA1c and fasting blood glucose. NPRA Safety Alert 1. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia","Hypersensitivity to simvastatin products, active liver disease, pregnancy and lactation",May cause slight elevation of serum digoxin. Cholestyramine and colestipol increase bioavailability of simvastatin. Increased concentrations with mibefradil NPRA Safety Alert 1. 19 Feb 2024 Interaction with Ticagrelor Leading to Increased Risk of Rhabdomyolysis,"Heavy alcohol use, history of liver disease. Discontinue therapy if serum transaminase levels rise to 3 times upper limit of normal and are persistent. May cause myopathy and renal failure due to rhabdomyolysis. Concomitant administration of fibrates, nicotinic acid, immunosuppressives including ciclosporin, macrolide antibiotics (erythromycin, clarithromycin), itraconazole and ketoconazole or nefazodone may increase the risk of myopathy NPRA Safety Alert 1. 18 Jul 2023 Risk of Inducing or Aggravating Myasthenia Gravis 2. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia",False
Felodipine 10mg Extended Release Tablet,Plendil ER Tabs 10mg,Cardiovascular System > Calcium Channel Blockers,C08CA02-000-T10-02-XX,No,APPL,A/KK,Hypertension,None,"Initiate at 5 mg once daily. Usual dose, 5 - 10 mg once daily in the morning","Peripheral oedema, asthenia, headache, dizziness, fatigue, tachycardia, palpitation, flushing, rash, nausea, dyspepsia, constipation, upper resp infection, ankle swelling, gingival hyperplasia.","Unstable angina pectoris, cardiogenic shock, aortic stenosis","Plasma levels increased by CYP3A4 inhibitors (e.g. cimetidine, azole antifungals, erythromycin, ritonavir) and reduced CYP3A4 by inducers (e.g. phenytoin, carbamazepine, barbiturates). May increase concentration of tacrolimus.","Patients with heart failure, hypertrophic cardiomyopathy with outflow tract obstruction. Hepatic impairment. Elderly. Pregnancy and lactation.",True
Prazosin HCl 5 mg Tablet,,Cardiovascular System > Antihypertensives,C02CA01110T1003XX,No,APPL,B,Hypertension,None,"Initially 0.5 mg 2 - 3 times daily, the initial dose on retiring to bed at night; increased to 1 mg 2 - 3 times daily after 3 - 7 days: further increased if necessary to maximum 20 mg daily","Dizziness, orthostatic hypotension, oedema, palpitations, urinary incontinence, dyspnoea, priapism, headache, lack of energy, nausea",Hypersensitivity to prazosin products or other quinazolines,Additive hypotensive effect with diuretics or other antihypertensives,"Dizziness, lightheadedness, orthostatic hypotension, syncope, fainting and sudden loss of consciousness due to first-dose effect",False
Propylthiouracil 50 mg Tablet,-,"Systemic Hormonal Preparations, excl. Sex Hormones and Insulins > Thyroid Therapy",H03BA02000T1001XX,Yes,LP,B,Hyperthyroidism,None,"ADULT Initially 300-600mg daily in divided doses, at 8 hourly intervals (can be given up to 600-1,200mg/daily in divided doses). Maintenance 50-200mg daily when the condition is controlled, probably within 1 to 3 months. CHILDREN 6-10 years: 50-150mg daily in divided doses. CHILDREN > 10 years: 150-300mg or 150mg/m2 daily Maintenance 50-100mg daily, according to patient's response. Taken with food.","GI disturbances, headache, arthralgia, myalgia, oedema, alopecia, pruritus and rashes. Potentially fatal: agranulocytosis, aplastic anaemia, liver injury and liver failure",Hypersensitivity,"Anticoagulants, beta blockers, digitalis glycosides, theophylline","Reserve use for patients who are unable to tolerate carbimazole, radioactive iodine therapy and surgery. Severe liver injury and acute liver failure, hepatic or renal impairment. Monitor for liver injury and agranulocytosis especially in the first 6 months of therapy. Pregnancy and lactation.",False
Prednisolone 2.5mg/5 ml Syrup,,"Systemic Hormonal Preparations, excl. Sex Hormones and Insulins > Corticosteroids for Systemic Use",H02AB06-000-L90-02-XX,Yes,LP,B,i) Replacement therapy for primary and secondary adrenocortical insufficiency ii) Adrenogenital syndrome iii) Other therapy,None,i) 5 - 25 mg daily in divided doses ii) 10 - 20 mg/m2 body surface daily in divided doses iii) ADULT: 5 - 60 mg daily. CHILD: 0.5 - 2 mg/kg/day in divided doses every 6 - 8 hours or as a single daily,"Fluid and electrolyte disturbances, muscle weakness and peptic ulcer, osteoporosis, abdominal distention, nausea and vomiting",Hypersensitivity and systemic fungal infection,"Phenytoin, phenobarbital, rifampin increase clearance of methylprednisolone. Potassium depleting diuretics enhance potassium depletion. Skin test antigens and immunizations decrease response. Increase circulating glucose level and may need adjustment of insulin or oral hypoglycaemics","Discontinue treatment by reducing the dosage gradually NPRA Safety Alert 1. 19 July 2022 Pheochromocytoma crisis, which may be fatal, has been reported after administration of systemic corticosteroids. Corticosteroids should only be administered to patients with suspected or identified pheochromocytoma after an appropriate risk/benefit evaluation.",False
Nifedipine 10 mg Tablet,,Cardiovascular System > Calcium Channel Blockers,C08CA05000T1001XX,No,APPL,B,Hypertension,None,Initial dose of 10 mg twice daily. Usual range 10 - 30 mg 3 times daily. Maximum: 120 - 180 mg per day. Elderly: Dose reduction may be necessary.,"Dizziness, flushing, headache, hypotension, peripheral oedema, tachycardia, palpitations, nausea, constipation, other gastrointestinal disturbances, increased micturition frequency, lethargy, eye pain, visual disturbances, syncope, vertigo, migraine, mood disturbances, rashes (including erythema multiforme), liver function abnormalities (including cholestasis), pruritus, gingival hyperplasia, myalgia, gynaecomastia, tremor, impotence, fever. Paradoxical increase in ischaemic chest pain during initiation of treatment.","Cardiogenic shock, acute unstable angina, use wthin one month of myocardial infarction. Treatment of angina attack in chronic stable angina or acute reduction of blood pressure in adults. Concomitant use with strong CYP3A4 inducers.","Other antihypertensives, aldesleukin, and antipsychotics, fentanyl, insulin, benazerpril, coumarin anticoagulants, CYP3A4 inhibitors .","Patients with hypotension, poor cardiac reserve, heart failure, severe aortic stenosis, diabetes melitus, underlying severe gastrointestinal narrowing (extended-release tablet). Avoid abrupt withdrawal as it may casue rebound angina. Hepatic impairment. Elderly. Pregnancy and lactation.",False
